,Total Targets 4 Years,,,,
,,,,,
Customer ID,2020,2021,2022,2023,Total Targets
5103020103,2250000,2000000,2500000,4000000,10750000
5103020105,2000000,3000000,2500000,3500000,11000000
5103020106,1000000,1250000,1750000,1750000,5750000
5103020107,1500000,2000000,2000000,2500000,8000000
5103020108,4750000,6250000,6000000,6250000,23250000
5103020112,2750000,2750000,3000000,2500000,11000000
5103020113,3750000,4750000,5000000,4750000,18250000
5103020114,2250000,3000000,3000000,4500000,12750000
5103020115,1750000,2500000,2750000,2500000,9500000
5103020116,1250000,1750000,1250000,2000000,6250000
5103020117,2250000,2750000,2500000,4250000,11750000
5103020118,2500000,2500000,1500000,2000000,8500000
5103020119,1750000,3000000,3250000,2500000,10500000
5103020120,1250000,1750000,1500000,2500000,7000000
5103020123,6750000,7750000,5250000,8250000,28000000
5103020124,4250000,4500000,4250000,6750000,19750000
5103020125,1250000,2000000,2000000,3000000,8250000
5203020101,2750000,3000000,3500000,3750000,13000000
5203020102,1500000,1500000,2000000,2000000,7000000
5203020104,1000000,1750000,1500000,3250000,7500000
5203020109,3000000,2750000,3500000,3000000,12250000
5203020110,3250000,3500000,4000000,4000000,14750000
5203020111,5250000,4750000,4750000,5000000,19750000
5203020126,2500000,3250000,3250000,4000000,13000000
5203020127,2750000,3750000,3750000,3500000,13750000
5203020128,1750000,1750000,1500000,1750000,6750000
5203020129,1500000,1500000,1750000,2000000,6750000
5303020121,2250000,3250000,3000000,3250000,11750000
5303020122,2000000,2250000,2000000,2250000,8500000
5303020130,2000000,2250000,2500000,2750000,9500000
